"","V1","V2","V3","V4","V5"
"1","C18orf42","C18orf42","0","0","FALSE"
"2","SERPINA3","C18orf42","0.0137776915761225","-1","FALSE"
"3","SERPINA3","SERPINA3","0.12002357015683","1","FALSE"
"4","ADGB","C18orf42","0","0","FALSE"
"5","ADGB","SERPINA3","0","0","FALSE"
"6","ADGB","ADGB","0","0","FALSE"
"7","FAM92B","C18orf42","0","0","FALSE"
"8","FAM92B","SERPINA3","0","0","FALSE"
"9","FAM92B","ADGB","0","0","FALSE"
"10","FAM92B","FAM92B","0","0","FALSE"
"11","AC104809_3","C18orf42","0","0","FALSE"
"12","AC104809_3","SERPINA3","0","0","FALSE"
"13","AC104809_3","ADGB","0","0","FALSE"
"14","AC104809_3","FAM92B","0","0","FALSE"
"15","AC104809_3","AC104809_3","0","0","FALSE"
"16","CLIC6","C18orf42","0","0","FALSE"
"17","CLIC6","SERPINA3","0","0","FALSE"
"18","CLIC6","ADGB","0","0","FALSE"
"19","CLIC6","FAM92B","0","0","FALSE"
"20","CLIC6","AC104809_3","0","0","FALSE"
"21","CLIC6","CLIC6","0","0","FALSE"
"22","FAM216B","C18orf42","0","0","FALSE"
"23","FAM216B","SERPINA3","0","0","FALSE"
"24","FAM216B","ADGB","0","0","FALSE"
"25","FAM216B","FAM92B","0","0","FALSE"
"26","FAM216B","AC104809_3","0","0","FALSE"
"27","FAM216B","CLIC6","0","0","FALSE"
"28","FAM216B","FAM216B","0","0","FALSE"
"29","FAM92B","C18orf42","0","0","FALSE"
"30","FAM92B","SERPINA3","0","0","FALSE"
"31","FAM92B","ADGB","0","0","FALSE"
"32","FAM92B","FAM92B","0","0","FALSE"
"33","FAM92B","AC104809_3","0","0","FALSE"
"34","FAM92B","CLIC6","0","0","FALSE"
"35","FAM92B","FAM216B","0","0","FALSE"
"36","FAM92B","FAM92B","0","0","FALSE"
"37","FAM92B","C18orf42","0","0","FALSE"
"38","FAM92B","SERPINA3","0","0","FALSE"
"39","FAM92B","ADGB","0","0","FALSE"
"40","FAM92B","FAM92B","0","0","FALSE"
"41","FAM92B","AC104809_3","0","0","FALSE"
"42","FAM92B","CLIC6","0","0","FALSE"
"43","FAM92B","FAM216B","0","0","FALSE"
"44","FAM92B","FAM92B","0","0","FALSE"
"45","FAM92B","FAM92B","0","0","FALSE"
"46","FAM216B","C18orf42","0","0","FALSE"
"47","FAM216B","SERPINA3","0","0","FALSE"
"48","FAM216B","ADGB","0","0","FALSE"
"49","FAM216B","FAM92B","0","0","FALSE"
"50","FAM216B","AC104809_3","0","0","FALSE"
"51","FAM216B","CLIC6","0","0","FALSE"
"52","FAM216B","FAM216B","0","0","FALSE"
"53","FAM216B","FAM92B","0","0","FALSE"
"54","FAM216B","FAM92B","0","0","FALSE"
"55","FAM216B","FAM216B","0","0","FALSE"
"56","ADGB","C18orf42","0","0","FALSE"
"57","ADGB","SERPINA3","0","0","FALSE"
"58","ADGB","ADGB","0","0","FALSE"
"59","ADGB","FAM92B","0","0","FALSE"
"60","ADGB","AC104809_3","0","0","FALSE"
"61","ADGB","CLIC6","0","0","FALSE"
"62","ADGB","FAM216B","0","0","FALSE"
"63","ADGB","FAM92B","0","0","FALSE"
"64","ADGB","FAM92B","0","0","FALSE"
"65","ADGB","FAM216B","0","0","FALSE"
"66","ADGB","ADGB","0","0","FALSE"
"67","CCDC33","C18orf42","0","0","FALSE"
"68","CCDC33","SERPINA3","0","0","FALSE"
"69","CCDC33","ADGB","0","0","FALSE"
"70","CCDC33","FAM92B","0","0","FALSE"
"71","CCDC33","AC104809_3","0","0","FALSE"
"72","CCDC33","CLIC6","0","0","FALSE"
"73","CCDC33","FAM216B","0","0","FALSE"
"74","CCDC33","FAM92B","0","0","FALSE"
"75","CCDC33","FAM92B","0","0","FALSE"
"76","CCDC33","FAM216B","0","0","FALSE"
"77","CCDC33","ADGB","0","0","FALSE"
"78","CCDC33","CCDC33","0","0","FALSE"
"79","AC104809_3","C18orf42","0","0","FALSE"
