A1,A2,A3,A4
Brain - Cortex,-0.370342127034608,0,0
Brain - Cerebellum,0,-0.582614094560121,0
Brain - Hippocampus,0.374803990550265,0,0
Brain - Substantia nigra,0,0,0.707106781186547
Brain - Anterior cingulate cortex (BA24),-0.419264833285596,0,0
Brain - Frontal Cortex (BA9),-0.405473155936522,0,0
Brain - Cerebellar Hemisphere,0,-0.467489096786155,0
Brain - Caudate (basal ganglia),0,0.313324731610932,0
Brain - Nucleus accumbens (basal ganglia),0,0.558679960595551,0
Brain - Putamen (basal ganglia),0,0.178098499139792,0
Brain - Hypothalamus,0.258892012005686,0,0
Brain - Spinal cord (cervical c-1),0.561384113700775,0,0
Brain - Amygdala,0,0,-0.707106781186548
